participant_id	original_participant_id	species	sex
sub-LC10a+fly0	sub-LC10a_fly0	Drosophila melanogaster	M
sub-LC10a+fly1	sub-LC10a_fly1	Drosophila melanogaster	M
sub-LC10a+fly10	sub-LC10a_fly10	Drosophila melanogaster	M
sub-LC10a+fly11	sub-LC10a_fly11	Drosophila melanogaster	M
sub-LC10a+fly12	sub-LC10a_fly12	Drosophila melanogaster	M
sub-LC10a+fly2	sub-LC10a_fly2	Drosophila melanogaster	M
sub-LC10a+fly3	sub-LC10a_fly3	Drosophila melanogaster	M
sub-LC10a+fly4	sub-LC10a_fly4	Drosophila melanogaster	M
sub-LC10a+fly5	sub-LC10a_fly5	Drosophila melanogaster	M
sub-LC10a+fly6	sub-LC10a_fly6	Drosophila melanogaster	M
sub-LC10a+fly7	sub-LC10a_fly7	Drosophila melanogaster	M
sub-LC10a+fly8	sub-LC10a_fly8	Drosophila melanogaster	M
sub-LC10a+fly9	sub-LC10a_fly9	Drosophila melanogaster	M
sub-LC10ad+fly0	sub-LC10ad_fly0	Drosophila melanogaster	M
sub-LC10ad+fly1	sub-LC10ad_fly1	Drosophila melanogaster	M
sub-LC10ad+fly10	sub-LC10ad_fly10	Drosophila melanogaster	M
sub-LC10ad+fly11	sub-LC10ad_fly11	Drosophila melanogaster	M
sub-LC10ad+fly12	sub-LC10ad_fly12	Drosophila melanogaster	M
sub-LC10ad+fly13	sub-LC10ad_fly13	Drosophila melanogaster	M
sub-LC10ad+fly14	sub-LC10ad_fly14	Drosophila melanogaster	M
sub-LC10ad+fly2	sub-LC10ad_fly2	Drosophila melanogaster	M
sub-LC10ad+fly3	sub-LC10ad_fly3	Drosophila melanogaster	M
sub-LC10ad+fly4	sub-LC10ad_fly4	Drosophila melanogaster	M
sub-LC10ad+fly5	sub-LC10ad_fly5	Drosophila melanogaster	M
sub-LC10ad+fly6	sub-LC10ad_fly6	Drosophila melanogaster	M
sub-LC10ad+fly7	sub-LC10ad_fly7	Drosophila melanogaster	M
sub-LC10ad+fly8	sub-LC10ad_fly8	Drosophila melanogaster	M
sub-LC10ad+fly9	sub-LC10ad_fly9	Drosophila melanogaster	M
sub-LC10bc+fly0	sub-LC10bc_fly0	Drosophila melanogaster	M
sub-LC10bc+fly1	sub-LC10bc_fly1	Drosophila melanogaster	M
sub-LC10bc+fly10	sub-LC10bc_fly10	Drosophila melanogaster	M
sub-LC10bc+fly11	sub-LC10bc_fly11	Drosophila melanogaster	M
